year,month,scam_type,age_group,location,report_count,total_loss,date
2024,9,financial fraud,55-64,NT,1,22558,2024-09-01
2024,6,task-based scam,55-64,NT,28,29092,2024-06-01
2019,6,task-based scam,18-24,NT,45,19781,2019-06-01
2021,9,phishing,45-54,NSW,9,3216,2021-09-01
2019,2,task-based scam,25-34,QLD,4,28849,2019-02-01
2023,9,investment,18-24,VIC,38,45818,2023-09-01
2025,4,identity theft,65+,ACT,12,19397,2025-04-01
2024,4,investment,25-34,TAS,44,39762,2024-04-01
2023,9,task-based scam,55-64,SA,10,12577,2023-09-01
2021,7,identity theft,45-54,NT,18,45056,2021-07-01
2024,12,task-based scam,35-44,QLD,17,11677,2024-12-01
2025,10,financial fraud,35-44,VIC,7,39601,2025-10-01
2023,12,phishing,65+,NT,33,16266,2023-12-01
2022,5,task-based scam,25-34,ACT,18,45203,2022-05-01
2020,8,investment,65+,NSW,42,6578,2020-08-01
2024,12,phishing,18-24,VIC,8,8305,2024-12-01
2025,1,financial fraud,45-54,VIC,5,21223,2025-01-01
2020,7,financial fraud,65+,SA,43,26504,2020-07-01
2019,4,financial fraud,45-54,QLD,1,23024,2019-04-01
2023,2,task-based scam,18-24,WA,15,39843,2023-02-01
2019,2,financial fraud,35-44,NT,20,5306,2019-02-01
2025,11,phishing,18-24,VIC,45,38600,2025-11-01
2024,12,task-based scam,65+,NSW,27,3586,2024-12-01
2020,9,task-based scam,18-24,ACT,28,30360,2020-09-01
2020,6,identity theft,45-54,WA,5,43999,2020-06-01
2023,11,phishing,25-34,ACT,30,7182,2023-11-01
2024,4,task-based scam,45-54,ACT,45,35134,2024-04-01
2022,2,phishing,45-54,TAS,6,45984,2022-02-01
2022,7,task-based scam,18-24,NSW,31,14302,2022-07-01
2023,9,financial fraud,25-34,NSW,44,1213,2023-09-01
2024,2,identity theft,55-64,NSW,18,10011,2024-02-01
2023,4,investment,55-64,NT,5,10542,2023-04-01
2024,1,identity theft,18-24,NT,38,47748,2024-01-01
2025,1,identity theft,25-34,VIC,17,45926,2025-01-01
2025,3,phishing,25-34,VIC,6,47305,2025-03-01
2019,1,phishing,25-34,VIC,48,35625,2019-01-01
2023,4,investment,25-34,NSW,5,21440,2023-04-01
2024,6,phishing,25-34,VIC,24,29478,2024-06-01
2022,5,financial fraud,45-54,ACT,32,45045,2022-05-01
2024,9,phishing,45-54,WA,43,25714,2024-09-01
2025,12,investment,25-34,SA,47,1793,2025-12-01
2024,11,task-based scam,65+,TAS,20,46213,2024-11-01
2023,2,phishing,18-24,QLD,42,44023,2023-02-01
2019,2,identity theft,45-54,VIC,27,2580,2019-02-01
2019,12,identity theft,65+,NT,12,7285,2019-12-01
2019,3,phishing,65+,SA,20,8429,2019-03-01
2019,4,financial fraud,45-54,WA,16,46547,2019-04-01
2025,9,identity theft,45-54,TAS,8,40610,2025-09-01
2021,11,financial fraud,65+,QLD,26,20103,2021-11-01
2023,6,investment,65+,WA,35,9232,2023-06-01
2020,9,phishing,55-64,SA,5,11433,2020-09-01
2023,5,task-based scam,25-34,TAS,2,22587,2023-05-01
2021,9,identity theft,25-34,WA,2,19071,2021-09-01
2019,9,task-based scam,25-34,VIC,16,33079,2019-09-01
2021,1,identity theft,35-44,QLD,30,21958,2021-01-01
2022,9,financial fraud,25-34,NT,36,22473,2022-09-01
2022,7,identity theft,45-54,NT,7,11775,2022-07-01
2025,11,investment,45-54,NSW,14,11017,2025-11-01
2023,8,financial fraud,45-54,SA,41,25304,2023-08-01
2023,3,task-based scam,45-54,ACT,34,43522,2023-03-01
2020,1,financial fraud,35-44,ACT,28,27586,2020-01-01
2025,4,identity theft,18-24,NSW,11,4543,2025-04-01
2020,1,investment,55-64,WA,7,21959,2020-01-01
2022,1,investment,25-34,VIC,29,9671,2022-01-01
2019,4,investment,35-44,VIC,32,23587,2019-04-01
2021,8,task-based scam,65+,QLD,36,18002,2021-08-01
2020,12,financial fraud,18-24,TAS,47,9736,2020-12-01
2024,1,phishing,65+,NT,26,39164,2024-01-01
2020,10,task-based scam,45-54,TAS,19,6772,2020-10-01
2019,10,financial fraud,45-54,TAS,36,9158,2019-10-01
2019,12,investment,18-24,WA,42,21906,2019-12-01
2023,9,identity theft,25-34,NT,18,12585,2023-09-01
2021,6,identity theft,35-44,SA,19,46854,2021-06-01
2019,5,identity theft,55-64,QLD,12,2420,2019-05-01
2025,9,identity theft,55-64,VIC,1,35717,2025-09-01
2020,9,phishing,55-64,NSW,35,30309,2020-09-01
2020,9,financial fraud,65+,WA,22,49234,2020-09-01
2022,12,financial fraud,18-24,WA,25,17848,2022-12-01
2019,3,task-based scam,18-24,QLD,48,43930,2019-03-01
2024,12,identity theft,65+,TAS,34,48491,2024-12-01
2023,12,task-based scam,35-44,SA,14,5327,2023-12-01
2021,8,identity theft,18-24,NT,48,7921,2021-08-01
2024,10,phishing,65+,SA,22,39218,2024-10-01
2023,4,phishing,25-34,TAS,36,10539,2023-04-01
2020,4,investment,35-44,NSW,4,26245,2020-04-01
2024,12,identity theft,45-54,ACT,36,10549,2024-12-01
2023,7,identity theft,35-44,SA,43,476,2023-07-01
2020,8,financial fraud,55-64,WA,2,18647,2020-08-01
2020,4,phishing,25-34,WA,12,12660,2020-04-01
2020,11,financial fraud,55-64,NT,27,14951,2020-11-01
2020,10,task-based scam,18-24,SA,36,3126,2020-10-01
2025,6,financial fraud,25-34,WA,41,18305,2025-06-01
2020,1,identity theft,65+,WA,15,14020,2020-01-01
2022,2,financial fraud,18-24,WA,37,28952,2022-02-01
2024,12,investment,18-24,NSW,46,43506,2024-12-01
2023,5,financial fraud,65+,NSW,33,40625,2023-05-01
2022,4,investment,35-44,NT,35,11918,2022-04-01
2025,3,identity theft,25-34,NSW,10,8376,2025-03-01
2022,11,task-based scam,65+,QLD,19,24726,2022-11-01
2019,6,phishing,25-34,NT,25,23372,2019-06-01
2019,10,investment,65+,NSW,30,10954,2019-10-01
2019,6,phishing,25-34,ACT,38,49229,2019-06-01
2021,11,task-based scam,65+,QLD,44,3749,2021-11-01
2019,10,financial fraud,55-64,SA,33,39341,2019-10-01
2023,8,task-based scam,55-64,ACT,21,36544,2023-08-01
2022,2,task-based scam,55-64,NSW,22,28177,2022-02-01
2023,7,identity theft,65+,QLD,19,2395,2023-07-01
2024,7,investment,65+,ACT,33,5955,2024-07-01
2019,2,task-based scam,18-24,NSW,34,40565,2019-02-01
2025,6,investment,25-34,TAS,14,41501,2025-06-01
2021,5,investment,18-24,SA,35,27411,2021-05-01
2024,2,task-based scam,25-34,QLD,18,5000,2024-02-01
2025,9,phishing,65+,QLD,25,528,2025-09-01
2021,8,task-based scam,18-24,TAS,11,30973,2021-08-01
2024,7,identity theft,25-34,VIC,29,26750,2024-07-01
2022,6,financial fraud,18-24,SA,34,34658,2022-06-01
2023,5,financial fraud,55-64,QLD,46,11240,2023-05-01
2020,9,identity theft,45-54,VIC,18,47359,2020-09-01
2023,5,task-based scam,35-44,TAS,38,6285,2023-05-01
2019,6,task-based scam,45-54,WA,31,43749,2019-06-01
2025,3,task-based scam,55-64,NT,38,47842,2025-03-01
2020,9,phishing,25-34,TAS,27,38149,2020-09-01
2021,11,financial fraud,25-34,QLD,45,31055,2021-11-01
2022,8,phishing,18-24,TAS,36,979,2022-08-01
2022,9,investment,65+,ACT,9,5640,2022-09-01
2021,1,investment,65+,SA,39,7469,2021-01-01
2019,1,identity theft,55-64,SA,38,14563,2019-01-01
2021,2,phishing,45-54,QLD,48,17573,2021-02-01
2024,4,task-based scam,18-24,QLD,48,12910,2024-04-01
2025,10,task-based scam,45-54,NT,36,15056,2025-10-01
2025,5,phishing,35-44,SA,32,37608,2025-05-01
2019,7,task-based scam,25-34,VIC,3,12026,2019-07-01
2020,4,task-based scam,25-34,VIC,14,29190,2020-04-01
2021,1,phishing,25-34,ACT,22,30890,2021-01-01
2019,8,investment,25-34,TAS,43,2943,2019-08-01
2025,11,phishing,25-34,NT,21,15246,2025-11-01
2020,3,financial fraud,35-44,TAS,9,10787,2020-03-01
2021,9,financial fraud,45-54,NSW,1,24949,2021-09-01
2022,2,financial fraud,18-24,TAS,1,30085,2022-02-01
2021,11,identity theft,25-34,NT,24,4512,2021-11-01
2023,1,identity theft,25-34,NSW,47,33639,2023-01-01
2021,10,investment,45-54,QLD,42,25782,2021-10-01
2023,8,phishing,65+,NT,34,35460,2023-08-01
2020,3,investment,18-24,QLD,19,2384,2020-03-01
2021,1,financial fraud,45-54,WA,19,43013,2021-01-01
2020,11,financial fraud,65+,WA,31,30087,2020-11-01
2020,3,identity theft,45-54,NSW,1,35886,2020-03-01
2025,8,financial fraud,25-34,ACT,32,32048,2025-08-01
2019,11,identity theft,35-44,NSW,17,30637,2019-11-01
2020,4,investment,65+,TAS,8,23650,2020-04-01
2020,10,phishing,45-54,QLD,11,41069,2020-10-01
2025,11,phishing,55-64,TAS,18,29151,2025-11-01
2025,7,phishing,65+,NT,24,31647,2025-07-01
2021,8,phishing,18-24,VIC,48,16348,2021-08-01
2025,7,task-based scam,25-34,TAS,26,25388,2025-07-01
2021,1,investment,45-54,VIC,17,13366,2021-01-01
2022,4,identity theft,25-34,WA,26,37695,2022-04-01
2025,10,investment,65+,VIC,6,2962,2025-10-01
2019,9,investment,55-64,VIC,25,6255,2019-09-01
2020,7,task-based scam,18-24,WA,44,16013,2020-07-01
2019,12,task-based scam,55-64,NSW,22,10751,2019-12-01
2023,1,phishing,45-54,TAS,5,12493,2023-01-01
2025,8,phishing,45-54,ACT,26,18217,2025-08-01
2020,4,financial fraud,25-34,SA,39,40363,2020-04-01
2019,12,financial fraud,35-44,SA,43,30675,2019-12-01
2025,7,task-based scam,25-34,ACT,26,8394,2025-07-01
2025,6,phishing,35-44,NSW,17,42565,2025-06-01
2022,7,identity theft,18-24,ACT,10,4455,2022-07-01
2022,10,task-based scam,65+,QLD,12,23768,2022-10-01
2020,10,financial fraud,45-54,ACT,40,10238,2020-10-01
2023,1,investment,65+,SA,14,26618,2023-01-01
2022,12,identity theft,25-34,QLD,2,5306,2022-12-01
2022,6,identity theft,35-44,NT,29,43581,2022-06-01
2023,12,task-based scam,18-24,NSW,24,34841,2023-12-01
2019,3,financial fraud,18-24,WA,3,5378,2019-03-01
2022,10,identity theft,35-44,TAS,2,20247,2022-10-01
2021,4,investment,18-24,NSW,33,13992,2021-04-01
2024,1,phishing,55-64,SA,5,15344,2024-01-01
2024,10,task-based scam,18-24,NT,7,33733,2024-10-01
2022,8,financial fraud,65+,QLD,5,5878,2022-08-01
2019,2,financial fraud,35-44,NSW,1,858,2019-02-01
2025,3,identity theft,45-54,VIC,14,13911,2025-03-01
2019,7,task-based scam,35-44,ACT,32,15420,2019-07-01
2020,2,phishing,65+,NSW,48,9423,2020-02-01
2021,12,phishing,25-34,NT,12,20748,2021-12-01
2019,4,financial fraud,55-64,NSW,2,6173,2019-04-01
2023,12,financial fraud,45-54,SA,42,32344,2023-12-01
2021,7,phishing,55-64,NT,10,39257,2021-07-01
2024,12,investment,35-44,VIC,15,30140,2024-12-01
2021,3,financial fraud,65+,QLD,49,46179,2021-03-01
2023,2,task-based scam,18-24,VIC,6,13811,2023-02-01
2022,8,identity theft,35-44,VIC,24,9800,2022-08-01
2023,2,financial fraud,65+,NT,49,44686,2023-02-01
2023,10,investment,25-34,VIC,9,23595,2023-10-01
2022,7,identity theft,65+,VIC,12,15642,2022-07-01
2022,11,investment,55-64,TAS,39,49811,2022-11-01
2022,3,investment,65+,WA,25,2249,2022-03-01
2022,4,identity theft,25-34,QLD,17,28394,2022-04-01
2022,6,financial fraud,25-34,TAS,16,19540,2022-06-01
2023,11,phishing,55-64,VIC,40,20183,2023-11-01
2020,3,identity theft,55-64,NT,18,30826,2020-03-01
2020,1,identity theft,65+,SA,1,2989,2020-01-01
2019,12,phishing,45-54,SA,35,16609,2019-12-01
2020,8,identity theft,45-54,WA,29,7357,2020-08-01
2024,4,task-based scam,55-64,WA,16,12050,2024-04-01
2020,1,financial fraud,45-54,QLD,29,7615,2020-01-01
2023,2,phishing,35-44,NSW,18,48961,2023-02-01
2022,6,financial fraud,25-34,VIC,25,28738,2022-06-01
2022,1,phishing,25-34,NT,24,42608,2022-01-01
2025,9,identity theft,18-24,QLD,1,44395,2025-09-01
2025,7,identity theft,55-64,NT,38,40656,2025-07-01
2025,8,financial fraud,55-64,NSW,42,45977,2025-08-01
2023,8,investment,18-24,TAS,16,39714,2023-08-01
2024,6,task-based scam,65+,VIC,4,7515,2024-06-01
2020,8,financial fraud,25-34,WA,43,41397,2020-08-01
2023,7,identity theft,65+,QLD,9,24540,2023-07-01
2019,1,financial fraud,65+,NSW,26,26117,2019-01-01
2022,3,financial fraud,25-34,WA,25,14563,2022-03-01
2025,9,identity theft,18-24,SA,13,22141,2025-09-01
2021,8,investment,35-44,SA,27,16389,2021-08-01
2019,5,phishing,65+,WA,26,36804,2019-05-01
2025,1,investment,18-24,SA,1,47323,2025-01-01
2024,2,identity theft,35-44,NSW,27,47027,2024-02-01
2019,10,financial fraud,18-24,SA,6,21957,2019-10-01
2023,10,task-based scam,18-24,WA,6,24218,2023-10-01
2020,9,phishing,55-64,NT,33,34264,2020-09-01
2022,12,financial fraud,45-54,ACT,3,11401,2022-12-01
2024,10,investment,25-34,TAS,2,40769,2024-10-01
2024,8,phishing,65+,NT,7,24068,2024-08-01
2021,9,task-based scam,55-64,TAS,35,39655,2021-09-01
2019,2,investment,55-64,VIC,8,2381,2019-02-01
2021,3,phishing,25-34,SA,32,45258,2021-03-01
2020,3,financial fraud,65+,NSW,14,14710,2020-03-01
2025,1,task-based scam,25-34,WA,12,12365,2025-01-01
2020,2,financial fraud,45-54,ACT,12,35140,2020-02-01
2025,10,identity theft,18-24,WA,49,22624,2025-10-01
2021,5,task-based scam,25-34,ACT,9,37879,2021-05-01
2022,7,phishing,18-24,NSW,26,25928,2022-07-01
2020,6,identity theft,55-64,WA,26,46340,2020-06-01
2021,2,identity theft,18-24,ACT,49,32846,2021-02-01
2019,8,financial fraud,35-44,SA,3,32066,2019-08-01
2021,4,phishing,45-54,ACT,31,37166,2021-04-01
2021,11,investment,35-44,WA,24,42023,2021-11-01
2023,2,identity theft,18-24,ACT,22,48661,2023-02-01
2020,4,task-based scam,65+,QLD,10,34212,2020-04-01
2022,8,task-based scam,45-54,TAS,27,2475,2022-08-01
2022,1,investment,25-34,ACT,20,1957,2022-01-01
2023,11,identity theft,45-54,SA,23,9495,2023-11-01
2025,9,investment,45-54,VIC,42,31245,2025-09-01
2024,8,task-based scam,65+,ACT,2,4226,2024-08-01
2025,8,task-based scam,18-24,SA,38,44620,2025-08-01
2022,10,phishing,35-44,TAS,49,3340,2022-10-01
2021,9,identity theft,45-54,VIC,6,45393,2021-09-01
2023,7,financial fraud,65+,NSW,36,48262,2023-07-01
2019,11,task-based scam,55-64,VIC,46,24948,2019-11-01
2020,9,financial fraud,45-54,VIC,26,35311,2020-09-01
2020,1,phishing,55-64,NSW,49,44270,2020-01-01
2020,1,identity theft,45-54,NT,38,35218,2020-01-01
2021,12,investment,25-34,SA,42,48261,2021-12-01
2019,4,identity theft,55-64,WA,15,42697,2019-04-01
2023,2,task-based scam,18-24,ACT,38,6489,2023-02-01
2023,8,financial fraud,65+,TAS,46,31740,2023-08-01
2020,1,financial fraud,65+,SA,26,17450,2020-01-01
2019,4,investment,25-34,ACT,16,35027,2019-04-01
2019,11,financial fraud,45-54,NT,44,13552,2019-11-01
2019,11,identity theft,55-64,QLD,49,48548,2019-11-01
2022,9,identity theft,25-34,NT,7,43149,2022-09-01
2022,2,identity theft,18-24,TAS,41,44689,2022-02-01
2020,6,identity theft,45-54,WA,27,17414,2020-06-01
2019,4,investment,18-24,ACT,36,42728,2019-04-01
2024,12,financial fraud,65+,SA,16,36821,2024-12-01
2019,4,investment,55-64,NT,20,12889,2019-04-01
2023,6,financial fraud,65+,WA,43,9414,2023-06-01
2023,10,task-based scam,55-64,SA,7,21364,2023-10-01
2020,4,identity theft,18-24,VIC,37,37311,2020-04-01
2024,9,investment,35-44,QLD,11,22665,2024-09-01
2019,12,identity theft,18-24,NSW,37,22349,2019-12-01
2025,12,financial fraud,35-44,QLD,12,1165,2025-12-01
2024,8,financial fraud,18-24,VIC,43,5536,2024-08-01
2020,8,identity theft,18-24,NSW,45,2350,2020-08-01
2023,5,task-based scam,35-44,QLD,41,18197,2023-05-01
2025,6,investment,18-24,ACT,43,49364,2025-06-01
2023,1,task-based scam,18-24,ACT,15,7103,2023-01-01
2022,1,financial fraud,35-44,SA,41,48726,2022-01-01
2020,9,task-based scam,18-24,TAS,3,13373,2020-09-01
2020,12,investment,18-24,SA,19,46407,2020-12-01
2019,4,phishing,65+,NSW,32,33673,2019-04-01
2019,3,phishing,35-44,NT,38,37269,2019-03-01
2022,5,phishing,55-64,QLD,44,49402,2022-05-01
2025,9,identity theft,25-34,NT,18,46380,2025-09-01
2021,9,financial fraud,55-64,NT,10,2937,2021-09-01
2024,3,identity theft,18-24,SA,2,40322,2024-03-01
2021,12,phishing,25-34,SA,40,1326,2021-12-01
2021,7,investment,55-64,VIC,45,11885,2021-07-01
2020,3,financial fraud,25-34,WA,35,33210,2020-03-01
2024,3,identity theft,35-44,TAS,48,45807,2024-03-01
2020,4,task-based scam,55-64,WA,28,15958,2020-04-01
2024,2,task-based scam,35-44,WA,39,42616,2024-02-01
2023,6,investment,55-64,NT,40,26490,2023-06-01
2020,5,identity theft,45-54,SA,15,21247,2020-05-01
2020,10,financial fraud,45-54,ACT,9,13733,2020-10-01
2020,10,phishing,25-34,NSW,37,46631,2020-10-01
2025,2,phishing,35-44,NSW,34,5752,2025-02-01
2022,12,financial fraud,55-64,WA,40,2581,2022-12-01
2020,10,investment,18-24,ACT,48,30767,2020-10-01
2019,2,task-based scam,65+,VIC,38,29205,2019-02-01
2019,2,investment,25-34,VIC,26,39237,2019-02-01
2024,4,investment,25-34,TAS,7,6960,2024-04-01
2023,3,financial fraud,45-54,NT,11,33124,2023-03-01
2022,9,identity theft,55-64,ACT,36,12949,2022-09-01
2025,5,identity theft,25-34,NSW,25,24190,2025-05-01
2024,12,phishing,18-24,NT,26,17380,2024-12-01
2019,1,task-based scam,25-34,TAS,15,35126,2019-01-01
2022,2,task-based scam,25-34,WA,32,31234,2022-02-01
2022,7,phishing,55-64,VIC,10,13241,2022-07-01
2023,8,task-based scam,45-54,SA,36,13067,2023-08-01
2022,6,task-based scam,25-34,TAS,16,45579,2022-06-01
2020,7,identity theft,55-64,SA,11,12117,2020-07-01
2022,2,task-based scam,18-24,WA,47,41944,2022-02-01
2023,12,phishing,45-54,NSW,11,4045,2023-12-01
2024,6,financial fraud,25-34,NT,46,6682,2024-06-01
2023,12,investment,25-34,VIC,46,21614,2023-12-01
2025,6,investment,65+,WA,16,23506,2025-06-01
2023,4,phishing,55-64,QLD,16,46631,2023-04-01
2019,11,financial fraud,18-24,ACT,42,33751,2019-11-01
2020,4,investment,18-24,TAS,39,42300,2020-04-01
2019,2,phishing,18-24,QLD,22,26556,2019-02-01
2024,3,financial fraud,65+,SA,49,37109,2024-03-01
2021,10,investment,18-24,QLD,13,16460,2021-10-01
2024,6,phishing,45-54,QLD,10,29742,2024-06-01
2020,4,phishing,18-24,VIC,12,48542,2020-04-01
2022,3,task-based scam,65+,WA,2,16713,2022-03-01
2023,1,investment,65+,NT,21,4237,2023-01-01
2021,12,identity theft,65+,WA,49,914,2021-12-01
2020,11,identity theft,45-54,NT,23,31113,2020-11-01
2019,11,phishing,35-44,ACT,3,47852,2019-11-01
2023,11,financial fraud,55-64,QLD,10,42817,2023-11-01
2024,3,financial fraud,65+,WA,45,10517,2024-03-01
2019,1,phishing,35-44,NSW,35,15877,2019-01-01
2020,4,task-based scam,25-34,NT,1,17592,2020-04-01
2020,12,phishing,55-64,ACT,33,34381,2020-12-01
2024,4,identity theft,45-54,VIC,41,9851,2024-04-01
2021,11,task-based scam,35-44,WA,24,7765,2021-11-01
2024,12,financial fraud,35-44,QLD,33,5233,2024-12-01
2022,1,identity theft,45-54,SA,1,33666,2022-01-01
2019,7,financial fraud,18-24,VIC,4,15279,2019-07-01
2021,5,financial fraud,45-54,SA,1,30641,2021-05-01
2023,1,identity theft,55-64,NT,40,46372,2023-01-01
2025,5,identity theft,25-34,NT,24,6843,2025-05-01
2022,12,financial fraud,25-34,SA,12,2338,2022-12-01
2021,7,investment,25-34,NSW,30,30015,2021-07-01
2025,6,task-based scam,45-54,ACT,29,38504,2025-06-01
2025,10,investment,45-54,NSW,22,46250,2025-10-01
2019,5,investment,65+,TAS,15,1202,2019-05-01
2020,8,investment,65+,NT,21,32536,2020-08-01
2023,9,financial fraud,65+,NT,49,44346,2023-09-01
2024,1,investment,55-64,ACT,16,8486,2024-01-01
2019,6,financial fraud,35-44,NT,39,40923,2019-06-01
2022,2,task-based scam,45-54,NSW,44,1558,2022-02-01
2025,8,phishing,18-24,QLD,48,25643,2025-08-01
2022,5,financial fraud,25-34,TAS,31,569,2022-05-01
2025,1,financial fraud,55-64,ACT,24,19211,2025-01-01
2020,5,investment,45-54,NT,22,15015,2020-05-01
2020,10,investment,45-54,VIC,5,21693,2020-10-01
2023,5,identity theft,55-64,NT,41,13747,2023-05-01
2024,2,financial fraud,35-44,QLD,21,4179,2024-02-01
2023,4,financial fraud,45-54,TAS,14,2960,2023-04-01
2020,6,financial fraud,35-44,VIC,38,39319,2020-06-01
2020,1,phishing,18-24,VIC,2,25255,2020-01-01
2022,11,identity theft,35-44,VIC,37,49407,2022-11-01
2020,9,investment,65+,VIC,38,14544,2020-09-01
2021,7,identity theft,55-64,NT,44,7605,2021-07-01
2025,6,phishing,25-34,NT,48,34075,2025-06-01
2019,1,phishing,65+,VIC,15,20326,2019-01-01
2020,8,investment,65+,NT,39,44340,2020-08-01
2023,8,financial fraud,35-44,WA,17,5752,2023-08-01
2024,4,financial fraud,25-34,WA,1,26888,2024-04-01
2025,4,investment,65+,ACT,46,15361,2025-04-01
2025,1,investment,45-54,TAS,29,38411,2025-01-01
2024,9,investment,18-24,TAS,18,13201,2024-09-01
2024,8,financial fraud,65+,WA,28,43897,2024-08-01
2025,10,task-based scam,18-24,QLD,26,26272,2025-10-01
2021,7,investment,18-24,SA,36,10594,2021-07-01
2023,2,phishing,25-34,VIC,43,49776,2023-02-01
2021,7,financial fraud,55-64,TAS,19,37266,2021-07-01
2020,4,identity theft,35-44,WA,28,8913,2020-04-01
2019,3,investment,35-44,NT,45,12939,2019-03-01
2024,11,investment,45-54,SA,48,208,2024-11-01
2023,12,identity theft,45-54,TAS,45,7940,2023-12-01
2024,10,identity theft,18-24,TAS,14,23738,2024-10-01
2021,4,phishing,55-64,ACT,8,3157,2021-04-01
2022,10,financial fraud,45-54,ACT,38,17235,2022-10-01
2020,6,financial fraud,45-54,NSW,41,30306,2020-06-01
2019,7,financial fraud,25-34,NT,49,28013,2019-07-01
2020,2,phishing,45-54,TAS,10,21487,2020-02-01
2022,7,phishing,18-24,WA,49,43491,2022-07-01
2019,10,task-based scam,65+,WA,26,45621,2019-10-01
2022,2,investment,25-34,SA,7,14001,2022-02-01
2020,11,identity theft,18-24,TAS,10,29139,2020-11-01
2021,2,identity theft,55-64,NSW,39,47808,2021-02-01
2025,1,identity theft,55-64,SA,14,40178,2025-01-01
2020,11,phishing,35-44,NSW,6,26487,2020-11-01
2020,7,investment,45-54,NSW,21,28405,2020-07-01
2020,1,phishing,25-34,NSW,9,34473,2020-01-01
2023,3,task-based scam,65+,WA,25,33627,2023-03-01
2022,11,identity theft,45-54,NT,5,19427,2022-11-01
2022,8,financial fraud,35-44,SA,24,26802,2022-08-01
2024,1,investment,55-64,ACT,19,32521,2024-01-01
2022,12,task-based scam,35-44,ACT,27,1420,2022-12-01
2024,6,financial fraud,18-24,TAS,29,26120,2024-06-01
2023,12,financial fraud,45-54,NT,20,42029,2023-12-01
2021,2,investment,25-34,ACT,2,4283,2021-02-01
2024,9,identity theft,65+,WA,40,48776,2024-09-01
2020,2,investment,45-54,VIC,4,2925,2020-02-01
2021,6,financial fraud,18-24,VIC,11,41984,2021-06-01
2025,4,financial fraud,55-64,WA,39,44516,2025-04-01
2023,9,investment,55-64,VIC,36,25719,2023-09-01
2022,1,identity theft,45-54,WA,17,46423,2022-01-01
2024,1,financial fraud,35-44,NSW,45,36758,2024-01-01
2020,10,investment,65+,TAS,38,6994,2020-10-01
2019,3,financial fraud,55-64,TAS,2,30132,2019-03-01
2025,11,phishing,45-54,NSW,15,39757,2025-11-01
2019,6,phishing,55-64,TAS,22,9871,2019-06-01
2021,3,identity theft,55-64,NSW,49,31835,2021-03-01
2022,7,investment,25-34,NT,39,9099,2022-07-01
2019,9,financial fraud,18-24,QLD,30,43344,2019-09-01
2021,12,investment,25-34,TAS,1,16416,2021-12-01
2023,10,financial fraud,65+,TAS,11,15122,2023-10-01
2021,2,task-based scam,55-64,TAS,37,41297,2021-02-01
2025,4,phishing,18-24,NSW,10,13485,2025-04-01
2021,3,investment,18-24,NT,40,44847,2021-03-01
2025,6,identity theft,25-34,ACT,3,17995,2025-06-01
2021,5,identity theft,55-64,TAS,6,1674,2021-05-01
2020,12,financial fraud,18-24,NSW,5,47605,2020-12-01
2021,3,phishing,45-54,QLD,1,23227,2021-03-01
2024,9,task-based scam,18-24,QLD,17,22923,2024-09-01
2021,12,financial fraud,25-34,NSW,37,6711,2021-12-01
2020,8,phishing,65+,ACT,6,2595,2020-08-01
2020,3,identity theft,45-54,NT,16,5284,2020-03-01
2023,10,investment,55-64,SA,5,44492,2023-10-01
2025,5,identity theft,35-44,SA,34,46548,2025-05-01
2022,5,task-based scam,55-64,TAS,16,42196,2022-05-01
2019,5,financial fraud,25-34,WA,19,13094,2019-05-01
2019,8,identity theft,55-64,NSW,45,13543,2019-08-01
2021,3,investment,45-54,QLD,40,27169,2021-03-01
2023,3,identity theft,55-64,WA,15,17256,2023-03-01
2021,8,task-based scam,18-24,ACT,39,28422,2021-08-01
2019,9,phishing,45-54,WA,9,15063,2019-09-01
2025,5,investment,65+,VIC,11,2103,2025-05-01
2025,10,financial fraud,35-44,VIC,42,27643,2025-10-01
2025,8,financial fraud,45-54,ACT,47,5106,2025-08-01
2020,5,identity theft,45-54,WA,40,30585,2020-05-01
2022,12,phishing,55-64,QLD,3,7730,2022-12-01
2023,4,identity theft,55-64,SA,28,11959,2023-04-01
2020,2,financial fraud,35-44,SA,35,48619,2020-02-01
2022,11,investment,25-34,NSW,15,11995,2022-11-01
2023,4,identity theft,25-34,SA,18,23877,2023-04-01
2023,2,task-based scam,18-24,TAS,27,1074,2023-02-01
2019,7,task-based scam,55-64,NSW,25,37356,2019-07-01
2020,7,phishing,25-34,NT,28,38551,2020-07-01
2023,9,phishing,35-44,ACT,46,35853,2023-09-01
2024,12,phishing,55-64,NSW,39,3127,2024-12-01
2025,4,task-based scam,35-44,TAS,7,220,2025-04-01
2023,5,investment,18-24,VIC,36,44397,2023-05-01
2022,11,investment,65+,ACT,5,10322,2022-11-01
2019,4,financial fraud,18-24,SA,15,40373,2019-04-01
2021,4,investment,45-54,SA,49,45984,2021-04-01
2025,5,task-based scam,45-54,ACT,49,27623,2025-05-01
2019,3,phishing,65+,ACT,13,23876,2019-03-01
2021,9,financial fraud,45-54,SA,27,22026,2021-09-01
2020,7,task-based scam,45-54,VIC,24,48137,2020-07-01
2020,1,phishing,65+,QLD,37,16557,2020-01-01
2023,1,task-based scam,35-44,TAS,30,21116,2023-01-01
2024,1,task-based scam,18-24,TAS,7,46715,2024-01-01
2020,3,task-based scam,35-44,SA,32,44678,2020-03-01
2023,9,financial fraud,35-44,NT,1,23204,2023-09-01
2025,8,task-based scam,18-24,ACT,33,43298,2025-08-01
